ID,Nome,Descrizione,Quantita,Prezzo,DataAcquisto
1,RTX-1000,Radio ricetrasmittente VHF/UHF,5,350.00,2023-01-15
2,Alimentatore 13.8V,Alimentatore switching 30A,3,120.00,2023-02-10
3,Antenna Diamond X-50,Antenna dual band,7,89.90,2023-03-05
4,Cavo coassiale RG213,Matassa 100m,2,150.00,2023-03-20
5,Microfono palmare,Compatibile Yaesu,10,25.00,2023-04-01
6,Switch antenna,4 vie,4,45.00,2023-04-15
7,Kit connettori PL,Set 10 pezzi,8,18.00,2023-05-02
8,Supporto palo,Acciaio zincato,6,32.00,2023-05-18
9,Notebook usato,Lenovo i5,1,210.00,2023-06-10
10,Router WiFi,TP-Link Archer,2,55.00,2023-06-25
