quotaannocorr,quotaannosucc,descrizione
3,50,Rinnovo Socio Familiare diretto ARI
A3,AA,Rinnovo Socio Familiare diretto ARI - RR Digitale
2,51,Rinnovo Socio Familiare a mezzo Sezione
B2,AB,Rinnovo Socio Familiare a mezzo Sezione - RR Digitale
5,52,Rinnovo Socio OM Ordinario diretto ARI
A5,AC,Rinnovo Socio OM Ordinario diretto ARI - RR Digitale
4,53,Rinnovo Socio OM Ordinario a mezzo Sezione
B4,AD,Rinnovo Socio OM Ordinario a mezzo Sezione - RR Digitale
Q,56,Rinnovo Socio Radio Club Familiare diretto ARI
Q1,BA,Rinnovo Socio Radio Club Familiare diretto ARI - RR Digitale
T,57,Rinnovo Socio Radio Club Familiare a mezzo Sezione
T1,BB,Rinnovo Socio Radio Club Familiare a mezzo Sezione - RR Digitale
Z,58,Rinnovo Socio Radio Club Ordinario diretto ARI
Z1,BC,Rinnovo Socio Radio Club Ordinario diretto ARI - RR Digitale
S,59,Rinnovo Socio Radio Club Ordinario a mezzo Sezione
S1,BD,Rinnovo Socio Radio Club Ordinario a mezzo Sezione - RR Digitale
16,60,Non Socio
31,62,Socio non vedente
20,63,Servizio c/o Sede
10,64,Casa ARI
14,65,Trasferimento Diretto ARI
15,66,Trasferimento a mezzo Sezione
11,67,Servizio QSL diretto
12,68,Nominativo speciale
13,69,Servizio Manager
17,70,Abbonato europeo
18,71,Abbonato extraeuropeo
L,72,Quota Sezione
6,74,Nuovo Socio Familiare Ordinario diretto ARI
A6,AE,Nuovo Socio Familiare Ordinario diretto ARI - RR Digitale
7,75,Nuovo Socio Familiare Ordinario a mezzo Sezione
B7,AF,Nuovo Socio Familiare Ordinario a mezzo Sezione - RR Digitale
8,76,Nuovo Socio OM Ordinario diretto ARI
A8,AG,Nuovo Socio OM Ordinario diretto ARI - RR Digitale
9,77,Nuovo Socio OM Ordinario a mezzo Sezione
B9,AH,Nuovo Socio OM Ordinario a mezzo Sezione - RR Digitale
V,80,Nuovo Socio Familiare Radio Club diretto ARI
V1,BE,Nuovo Socio Familiare Radio Club diretto ARI - RR Digitale
R,81,Nuovo Socio Familiare Radio Club a mezzo Sezione
R1,BF,Nuovo Socio Familiare Radio Club a mezzo Sezione - RR Digitale
W,82,Nuovo Socio Radio Club Ordinario diretto ARI
W1,BG,Nuovo Socio Radio Club Ordinario diretto ARI - RR Digitale
X,83,Nuovo Socio Radio Club Ordinario a mezzo Sezione
X1,BH,Nuovo Socio Radio Club Ordinario a mezzo Sezione - RR Digitale
94,96,Rinnovo Juniores diretto ARI
98,AI,Rinnovo Juniores diretto ARI - RR Digitale
95,97,Rinnovo Juniores a mezzo Sezione
99,AL,Rinnovo Juniores a mezzo Sezione - RR Digitale
M,H,Rinnovo Juniores Radio Club diretto ARI
G,E,Rinnovo Juniores Radio Club diretto ARI - RR Digitale
N,I,Rinnovo Juniores Radio Club a mezzo Sezione
J,F,Rinnovo Juniores Radio Club a mezzo Sezione - RR Digitale
94+1,96+1,Nuovo Juniores Ordinario diretto ARI
98+1,AI+1,Nuovo Juniores Ordinario diretto ARI - RR Digitale
95+0,97+0,Nuovo Juniores Ordinario a mezzo Sezione
99+0,AL+0,Nuovo Juniores Ordinario a mezzo Sezione - RR Digitale
M+1,H+1,Nuovo Juniores Radio Club diretto ARI
G+1,E+1,Nuovo Juniores Radio Club diretto ARI - RR Digitale
N+0,I+0,Nuovo Juniores Radio Club a mezzo Sezione
J+0,F+0,Nuovo Juniores Radio Club a mezzo Sezione - RR Digitale
21,,Nuovo Socio OM semestrale diretto ARI
D1,,Nuovo Socio OM semestrale diretto ARI - RR Digitale
23,,Nuovo OM semestrale a mezzo Sezione
D2,,Nuovo OM semestrale a mezzo Sezione - RR Digitale
24,,Rientro OM semestrale diretto ARI
D3,,Rientro OM semestrale diretto ARI - RR Digitale
25,,Rientro OM semestrale a mezzo Sezione
D4,,Rientro OM semestrale a mezzo Sezione - RR Digitale
U,,Nuovo Radio Club semestrale diretto ARI
U1,,Nuovo Radio Club semestrale diretto ARI - RR Digitale
Y,,Nuovo Radio Club semestrale a mezzo Sezione
Y1,,Nuovo Radio Club semestrale a mezzo Sezione - RR Digitale
O,,Rientro Radio Club semestrale diretto ARI
O1,,Rientro Radio Club semestrale diretto ARI - RR Digitale
P,,Rientro Radio Club semestrale a mezzo Sezione
P1,,Rientro Radio Club semestrale a mezzo Sezione - RR Digitale
